Day +1,Day +2,Day +3,Day +4,Day +5
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.63
0.62,0.62,0.62,0.63,0.63
0.62,0.62,0.63,0.63,0.63
0.62,0.63,0.63,0.63,0.62
0.63,0.63,0.63,0.62,0.62
0.63,0.63,0.62,0.62,0.62
0.63,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.63
0.62,0.62,0.62,0.63,0.62
0.62,0.62,0.63,0.62,0.63
0.62,0.63,0.62,0.63,0.63
0.63,0.62,0.63,0.63,0.64
0.62,0.63,0.63,0.64,0.64
0.63,0.63,0.64,0.64,0.64
0.63,0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64,0.64
0.64,0.64,0.64,0.64,0.63
0.64,0.64,0.64,0.63,0.64
0.64,0.64,0.63,0.64,0.63
0.64,0.63,0.64,0.63,0.62
0.63,0.64,0.63,0.62,0.62
0.64,0.63,0.62,0.62,0.62
0.63,0.62,0.62,0.62,0.63
0.62,0.62,0.62,0.63,0.63
0.62,0.62,0.63,0.63,0.63
0.62,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.62
0.63,0.63,0.63,0.62,0.63
0.63,0.63,0.62,0.63,0.62
0.63,0.62,0.63,0.62,0.63
0.62,0.63,0.62,0.63,0.62
0.63,0.62,0.63,0.62,0.62
0.62,0.63,0.62,0.62,0.63
0.63,0.62,0.62,0.63,0.62
0.62,0.62,0.63,0.62,0.63
0.62,0.63,0.62,0.63,0.63
0.63,0.62,0.63,0.63,0.64
0.62,0.63,0.63,0.64,0.63
0.63,0.63,0.64,0.63,0.63
0.63,0.64,0.63,0.63,0.63
0.64,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.62
0.63,0.63,0.63,0.62,0.63
0.63,0.63,0.62,0.63,0.63
0.63,0.62,0.63,0.63,0.63
0.62,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.63
0.63,0.63,0.63,0.63,0.62
