Day -9,Day -8,Day -7,Day -6,Day -5,Day -4,Day -3,Day -2,Day -1,Day -0
0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.63
0.63,0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.62
0.63,0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.62,0.62
0.63,0.63,0.63,0.63,0.62,0.62,0.63,0.62,0.62,0.62
0.63,0.63,0.63,0.62,0.62,0.63,0.62,0.62,0.62,0.62
0.63,0.63,0.62,0.62,0.63,0.62,0.62,0.62,0.62,0.62
0.63,0.62,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.63
0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63
0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63
0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.62
0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.62,0.62
0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.62,0.62,0.62
0.62,0.62,0.62,0.63,0.63,0.63,0.62,0.62,0.62,0.62
0.62,0.62,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62
0.62,0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62
0.63,0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.63,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.62
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.63
0.62,0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.63,0.63
0.62,0.62,0.62,0.62,0.62,0.63,0.62,0.63,0.63,0.64
0.62,0.62,0.62,0.62,0.63,0.62,0.63,0.63,0.64,0.64
0.62,0.62,0.62,0.63,0.62,0.63,0.63,0.64,0.64,0.64
0.62,0.62,0.63,0.62,0.63,0.63,0.64,0.64,0.64,0.64
0.62,0.63,0.62,0.63,0.63,0.64,0.64,0.64,0.64,0.64
0.63,0.62,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.64
